2026-04-18 19:00:51.135 [main] INFO  com.ticketing.agent.vector.VectorStoreService - Qdrant 向量存储初始化成功: host=106.54.15.105, httpPort=6333, collectionName=ticketing-faq, modelType=OLLAMA
2026-04-18 19:00:51.380 [main] INFO  com.zaxxer.hikari.HikariDataSource - TicketingHikariPool - Starting...
2026-04-18 19:00:51.753 [main] INFO  com.zaxxer.hikari.pool.HikariPool - TicketingHikariPool - Added connection com.mysql.cj.jdbc.ConnectionImpl@73864f89
2026-04-18 19:00:51.754 [main] INFO  com.zaxxer.hikari.HikariDataSource - TicketingHikariPool - Start completed.
2026-04-18 19:00:52.401 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 使用HTTP API获取向量库已有FAQ ID
2026-04-18 19:00:52.547 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 成功获取向量库已有FAQ数量: 110
2026-04-18 19:00:52.547 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 向量库中已有 FAQ 数量: 110
2026-04-18 19:00:52.548 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 所有 FAQ 已存在于向量库，跳过添加
2026-04-18 19:00:52.548 [main] INFO  com.ticketing.service.ChatService - 初始化向量存储完成，加载 FAQ 数量: 110
2026-04-18 19:00:53.026 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-04-18 19:00:53.132 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@270df931, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3dcb08fc, org.springframework.security.web.context.SecurityContextHolderFilter@24c7cba6, org.springframework.security.web.header.HeaderWriterFilter@59d40307, org.springframework.web.filter.CorsFilter@39c5a105, org.springframework.security.web.authentication.logout.LogoutFilter@56b4492c, com.ticketing.config.RateLimitFilter@26d7cb0d, com.ticketing.config.JwtAuthenticationFilter@778113f2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@471c315f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@51849f9f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@463a0ff, org.springframework.security.web.session.SessionManagementFilter@19a81f9d, org.springframework.security.web.access.ExceptionTranslationFilter@55a6848, org.springframework.security.web.access.intercept.AuthorizationFilter@1ad01195]
2026-04-18 19:00:54.347 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2026-04-18 19:00:55.702 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2026-04-18 19:00:55.766 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-18 19:00:55.788 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api/v1'
2026-04-18 19:00:56.878 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2026-04-18 19:00:56.879 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [106.54.15.105:5672]
2026-04-18 19:00:57.038 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#78f52730:0/SimpleConnection@64c00712 [delegate=amqp://rabbitmq@106.54.15.105:5672/, localPort=63563]
2026-04-18 19:00:58.202 [main] INFO  com.ticketing.TicketingSystemApplication - Started TicketingSystemApplication in 15.803 seconds (process running for 16.339)
2026-04-18 19:00:58.716 [scheduling-1] INFO  com.ticketing.agent.vector.VectorStoreService - 向量存储健康检查通过，返回结果数: 1
2026-04-18 19:01:01.538 [scheduling-1] INFO  com.ticketing.agent.ai.AiModelService - AI模型健康检查通过: true
2026-04-18 19:01:12.484 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/api/v1] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-18 19:01:12.484 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-18 19:01:12.486 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-04-18 19:01:19.334 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2026-04-18 19:01:19.368 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2026-04-18 19:01:19.402 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2026-04-18 19:01:19.435 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#3-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2026-04-18 21:33:01.060 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-04-18 21:33:01.095 [main] INFO  com.ticketing.TicketingSystemApplication - Starting TicketingSystemApplication using Java 17.0.14 with PID 33448 (D:\java-project\mianshiXM\04gaiv1\target\classes started by mao in D:\java-project\mianshiXM\04gaiv1)
2026-04-18 21:33:01.097 [main] INFO  com.ticketing.TicketingSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-18 21:33:02.409 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-18 21:33:02.412 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-18 21:33:02.435 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2026-04-18 21:33:02.610 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=b92f5293-a28e-379e-a430-d9391aaca510
2026-04-18 21:33:03.040 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-18 21:33:03.047 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-18 21:33:03.049 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-18 21:33:03.049 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-04-18 21:33:03.097 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/api/v1] - Initializing Spring embedded WebApplicationContext
2026-04-18 21:33:03.097 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1970 ms
2026-04-18 21:33:03.366 [main] INFO  com.ticketing.agent.ai.AiModelService - 初始化AI模型，提供商: deepseek
2026-04-18 21:33:03.615 [main] INFO  com.ticketing.agent.ai.AiModelService - DeepSeek模型初始化成功: deepseek-chat
2026-04-18 21:33:04.278 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 初始化向量存储服务...
2026-04-18 21:33:04.278 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 根据配置初始化嵌入模型: embeddingProvider=auto
2026-04-18 21:33:04.278 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 尝试初始化本地 Ollama 嵌入模型...
2026-04-18 21:33:06.537 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 使用本地 Ollama 嵌入模型成功: baseUrl=http://localhost:11434, modelName=bge-m3
2026-04-18 21:33:06.695 [main] INFO  com.ticketing.agent.vector.VectorStoreService - Qdrant 向量存储初始化成功: host=106.54.15.105, httpPort=6333, collectionName=ticketing-faq, modelType=OLLAMA
2026-04-18 21:33:06.960 [main] INFO  com.zaxxer.hikari.HikariDataSource - TicketingHikariPool - Starting...
2026-04-18 21:33:07.327 [main] INFO  com.zaxxer.hikari.pool.HikariPool - TicketingHikariPool - Added connection com.mysql.cj.jdbc.ConnectionImpl@2d917372
2026-04-18 21:33:07.328 [main] INFO  com.zaxxer.hikari.HikariDataSource - TicketingHikariPool - Start completed.
2026-04-18 21:33:08.009 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 使用HTTP API获取向量库已有FAQ ID
2026-04-18 21:33:08.160 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 成功获取向量库已有FAQ数量: 110
2026-04-18 21:33:08.160 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 向量库中已有 FAQ 数量: 110
2026-04-18 21:33:08.161 [main] INFO  com.ticketing.agent.vector.VectorStoreService - 所有 FAQ 已存在于向量库，跳过添加
2026-04-18 21:33:08.161 [main] INFO  com.ticketing.service.ChatService - 初始化向量存储完成，加载 FAQ 数量: 110
